policy,value
모두가 누리는 워라밸,18594
성평등하게 일할 수 있는 사회,220
아동돌봄의 사회적 책임 강화,87485
아동기본권의 보편적 보장,217508
생애 전반 성․재생산권 보장,1829
모두의 역량이 고루 발휘되는 사회,96769
인구구조 변화에 대한 적응,6598
